symbol,time,current,diff,sellpct,bp1,bc1,bp2,bc2,bp3,bc3,bp4,bc4,bp5,bc5,sp1,sc1,sp2,sc2,sp3,sc3,sp4,sc4,sp5,sc5SZ123123,2022/8/12 9:25,203.9,3870,14.36,203.9,4500,203.4,20,203.106,10,203.08,20,203.01,100,204,10,204.129,100,204.13,410,204.6,50,205,210,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:26,203.9,3870,14.36,203.9,4500,203.4,20,203.106,10,203.08,20,203.01,100,204,10,204.129,100,204.13,410,204.6,50,205,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:27,203.9,3870,14.36,203.9,4500,203.4,20,203.106,10,203.08,20,203.01,100,204,10,204.129,100,204.13,410,204.6,50,205,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:28,203.9,3870,14.36,203.9,4500,203.4,20,203.106,10,203.08,20,203.01,100,204,10,204.129,100,204.13,410,204.6,50,205,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:29,203.9,3870,14.36,203.9,4500,203.4,20,203.106,10,203.08,20,203.01,100,204,10,204.129,100,204.13,410,204.6,50,205,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.5,1170,29.9,204.201,900,204.13,840,204.129,150,204.012,100,204.005,50,204.6,50,204.9,250,204.994,10,205,310,205.2,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.6,-270,58.18,204.6,40,204.5,20,204.391,200,204.202,70,204.135,360,204.99,220,205,400,205.2,250,205.397,30,205.398,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.5,1170,29.9,204.201,900,204.13,840,204.129,150,204.012,100,204.005,50,204.6,50,204.9,250,204.994,10,205,310,205.2,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.6,-270,58.18,204.6,40,204.5,20,204.391,200,204.202,70,204.135,360,204.99,220,205,400,205.2,250,205.397,30,205.398,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.5,1170,29.9,204.201,900,204.13,840,204.129,150,204.012,100,204.005,50,204.6,50,204.9,250,204.994,10,205,310,205.2,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.899,0,50,204.795,100,204.466,210,204.225,60,204.157,540,204.146,30,204.867,130,204.899,200,204.9,200,204.989,40,204.99,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.5,1170,29.9,204.201,900,204.13,840,204.129,150,204.012,100,204.005,50,204.6,50,204.9,250,204.994,10,205,310,205.2,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.02,1740,30.05,204.02,270,204.001,150,204,2510,203.98,50,203.965,70,204.497,190,204.498,650,204.568,380,204.576,60,204.595,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.5,1170,29.9,204.201,900,204.13,840,204.129,150,204.012,100,204.005,50,204.6,50,204.9,250,204.994,10,205,310,205.2,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.02,1740,30.05,204.02,270,204.001,150,204,2510,203.98,50,203.965,70,204.497,190,204.498,650,204.568,380,204.576,60,204.595,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.497,1590,29.35,204.48,100,204.158,70,204.001,40,204,2460,203.98,50,204.497,270,204.498,410,204.578,60,204.595,330,204.597,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.468,2420,17.3,204.135,140,204.067,100,204.022,120,204.021,70,204,2630,204.415,10,204.468,190,204.48,70,204.492,30,204.493,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.385,240,39.47,204.162,60,204.14,20,204.136,400,204.045,180,204.027,30,204.385,50,204.412,110,204.414,40,204.415,230,204.445,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.789,-190,56.74,204.789,90,204.787,120,204.786,130,204.78,130,204.779,140,204.987,50,204.988,90,204.99,90,204.999,60,205,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,204.78,30,48.74,204.841,240,204.783,70,204.78,20,204.779,140,204.77,140,205.691,150,205.693,230,205.695,80,205.697,80,205.7,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,205.013,380,27.38,205.013,40,204.987,130,204.974,20,204.822,70,204.806,350,205.046,50,205.195,30,205.215,30,205.62,20,205.626,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,205.181,110,42.03,205.181,60,205.18,10,205.179,120,205.175,160,205.173,50,205.477,60,205.478,20,205.483,70,205.485,120,205.502,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,205.222,-100,55.21,205.18,10,205.1,150,205.085,30,205.046,180,205.029,60,205.287,60,205.288,40,205.293,120,205.296,110,205.301,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,205.739,-1860,86.33,205.741,60,205.74,30,205.739,20,205.738,210,205.733,30,205.984,60,205.985,90,205.987,80,205.99,690,206,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,206.274,490,27.1,206.274,50,206.27,190,206.268,70,206.262,380,206.111,90,206.4,40,206.408,10,206.42,170,206.445,10,206.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,205.882,880,14.52,205.994,220,205.884,30,205.883,100,205.869,130,205.857,580,206.113,20,206.114,20,206.213,70,206.215,30,206.217,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,205.992,1100,23.81,205.988,20,205.984,900,205.857,580,205.8,30,205.739,70,206.18,20,206.181,260,206.184,110,206.189,80,206.215,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ123123,2022/8/12 9:30,206.194,60,46.15,206.194,50,206.134,100,206.11,140,206.011,30,206,100,206.273,50,206.274,20,206.336,180,206.337,60,206.338,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
